iat,load_pct,maf,throttle,Speed (OBD)(km/h),Engine RPM(rpm),temp,imei, Latitude, Longitude, Device Time
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:16
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:16
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:16
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:17
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:17
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:17
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:17
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:17
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:17
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:17
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:17
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:18
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:18
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:18
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:18
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:18
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:18
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:18
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:18
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:19
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:19
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:19
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:19
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:19
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:19
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:19
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:20
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:20
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:20
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:20
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:20
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:20
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:20
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:20
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:21
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:21
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:21
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:21
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:21
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:21
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:21
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:22
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:22
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:22
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:22
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:22
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:22
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:22
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:22
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:23
0,0,0,1.05,0,1050,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:23
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:23
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:23
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:23
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:23
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:23
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:23
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:24
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:24
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:24
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:24
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:24
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:24
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:24
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:25
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:25
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:25
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:25
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:25
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:25
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:26
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:26
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:26
0,0,0,1.0125,0,1012.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:27
0,0,0,1.025,0,1025,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:27
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:27
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:27
0,0,0,1.0375,0,1037.5,0,865645025450129,18.50906154,73.79185243,2015-07-26 20:00:27
